time	TRIlong	TRIlat	TRImed	BIClong	BICshort	BRA	r_shoulder_elev_reserve	r_elbow_flex_reserve
      0.26235185	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02532831	     -0.00199598
      0.26508339	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02546237	     -0.00199544
      0.26854648	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02563233	     -0.00199476
      0.27000000	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02570366	     -0.00199448
      0.27048564	      0.02000000	      0.03232226	      0.03164369	      0.17373704	      0.06427395	      0.02200000	      0.02575095	     -0.00201621
      0.27097127	      0.02000000	      0.03232226	      0.03164369	      0.17373704	      0.06427395	      0.02200000	      0.02579824	     -0.00203793
      0.27339945	      0.02000000	      0.03232226	      0.03164369	      0.17373704	      0.06427395	      0.02200000	      0.02603468	     -0.00214657
      0.27675549	      0.02000000	      0.03232226	      0.03164369	      0.17373704	      0.06427395	      0.02200000	      0.02636147	     -0.00229671
      0.28000000	      0.02000000	      0.03232226	      0.03164369	      0.17373704	      0.06427395	      0.02200000	      0.02667740	     -0.00244186
      0.28037321	      0.02000000	      0.03230987	      0.03272589	      0.18254383	      0.06730947	      0.02200000	      0.02671488	     -0.00245363
      0.28074643	      0.02000000	      0.03230987	      0.03272589	      0.18254383	      0.06730947	      0.02200000	      0.02675237	     -0.00246539
      0.28261250	      0.02000000	      0.03230987	      0.03272589	      0.18254383	      0.06730947	      0.02200000	      0.02693977	     -0.00252422
      0.28579446	      0.02000000	      0.03230987	      0.03272589	      0.18254383	      0.06730947	      0.02200000	      0.02725933	     -0.00262453
      0.29000000	      0.02000000	      0.03230987	      0.03272589	      0.18254383	      0.06730947	      0.02200000	      0.02768169	     -0.00275710
      0.29040638	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02770201	     -0.00276338
      0.29081276	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02772233	     -0.00276966
      0.29284467	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02782393	     -0.00280104
      0.29487658	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02792554	     -0.00283243
      0.29852056	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02810775	     -0.00288872
      0.30000000	      0.02000000	      0.03515510	      0.03366483	      0.19098252	      0.05945418	      0.02200000	      0.02818173	     -0.00291157
      0.30037158	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02819792	     -0.00290914
      0.30074315	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02821411	     -0.00290671
      0.30260103	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02829507	     -0.00289454
      0.30527338	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02841152	     -0.00287705
      0.30906233	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02857663	     -0.00285225
      0.31000000	      0.02000000	      0.03390102	      0.03666669	      0.19941207	      0.06712669	      0.02200000	      0.02861749	     -0.00284611
      0.31037564	      0.02000000	      0.03630796	      0.03535885	      0.20895431	      0.06830589	      0.02000000	      0.02863631	     -0.00284859
      0.31075129	      0.02000000	      0.03630796	      0.03535885	      0.20895431	      0.06830589	      0.02000000	      0.02865513	     -0.00285107
      0.31262951	      0.02000000	      0.03630796	      0.03535885	      0.20895431	      0.06830589	      0.02000000	      0.02874924	     -0.00286348
      0.31603577	      0.02000000	      0.03630796	      0.03535885	      0.20895431	      0.06830589	      0.02000000	      0.02891992	     -0.00288599
      0.32000000	      0.02000000	      0.03630796	      0.03535885	      0.20895431	      0.06830589	      0.02000000	      0.02911856	     -0.00291218
      0.32035056	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.02915842	     -0.00292354
      0.32070113	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.02919828	     -0.00293489
      0.32223425	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.02937259	     -0.00298455
      0.32524885	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.02971534	     -0.00308218
      0.32826346	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.03005810	     -0.00317982
      0.33000000	      0.02000000	      0.03754839	      0.03772658	      0.21830566	      0.07133955	      0.02200000	      0.03025554	     -0.00323606
