umbergerTotal_m0; umbergerTotal_m1; umbergerTotal_m2; umbergerTotal_m3; umbergerTotal_m4; umbergerTotal_m5 
0.00478902675476; 0.00454859648789; 0.00454864629035; 0.00452171899173; 0.00445301009322; 0.00463905120645
0.00478876908693; 0.00454860509353; 0.00454865372463; 0.00452176940162; 0.00445300440456; 0.00463905420686
0.00478851170522; 0.00454861381669; 0.00454866125942; 0.00452181966235; 0.0044529986214; 0.004639057249
0.00478825461489; 0.00454862265779; 0.00454866889508; 0.00452186977334; 0.0044529927424; 0.00463906033309
0.00478799782121; 0.00454863161726; 0.00454867663194; 0.00452191973404; 0.00445298676622; 0.00463906345933
0.00478774132942; 0.00454864069551; 0.00454868447033; 0.0045219695439; 0.00445298069156; 0.00463906662794
0.00478748514475; 0.00454864989293; 0.00454869241059; 0.00452201920237; 0.00445297451709; 0.00463906983911
0.00478722927242; 0.00454865920992; 0.00454870045302; 0.00452206870893; 0.00445296824152; 0.00463907309307
0.00478697371765; 0.00454866864686; 0.00454870859793; 0.00452211806305; 0.00445296186353; 0.00463907639001
0.00478671848561; 0.0045486782041; 0.00454871684561; 0.00452216726422; 0.00445295538183; 0.00463907973013
0.00478646358151; 0.00454868788201; 0.00454872519635; 0.00452221631194; 0.00445294879515; 0.00463908311364
0.0047862090105; 0.00454869768093; 0.00454873365042; 0.00452226520572; 0.00445294210219; 0.00463908654073
0.00478595477774; 0.0045487076012; 0.0045487422081; 0.00452231394507; 0.0044529353017; 0.00463909001161
0.00478570088837; 0.00454871764314; 0.00454875086965; 0.00452236252953; 0.00445292839239; 0.00463909352647
0.00478544734751; 0.00454872780707; 0.00454875963529; 0.00452241095861; 0.004452921373; 0.0046390970855
0.00478521831515; 0.00454873809328; 0.00454876850529; 0.00452245923188; 0.0044529142423; 0.0046391006889
0.00478511174097; 0.00454874850211; 0.0045487774799; 0.00452250734887; 0.00445290699899; 0.00463910433688
0.0047850153876; 0.00454875903453; 0.00454878656; 0.00452255530859; 0.00445289964103; 0.00463910802988
0.00478491192649; 0.00454876969292; 0.00454879574786; 0.00452262669473; 0.00445289216475; 0.00463911176891
0.00478480194403; 0.0045487804809; 0.0045488050469; 0.0045227586889; 0.00445288456518; 0.00463911555545
0.00478468597947; 0.00454879140269; 0.00454881446105; 0.00452287688241; 0.00445287683674; 0.0046391193912
0.00478456452911; 0.00454880246264; 0.00454882399436; 0.00452298426368; 0.00445286897386; 0.00463912327789
0.00478443805045; 0.00454881366519; 0.00454883365087; 0.00452308316157; 0.00445286097093; 0.00463912721729
0.0047843069659; 0.00454882501487; 0.00454884343469; 0.00452317539022; 0.00445285282239; 0.00463913121121
0.00478417166601; 0.00454883651618; 0.00454885334987; 0.00452326236226; 0.00445284452273; 0.00463913526143
0.00478403251226; 0.00454884817362; 0.00454886340042; 0.00452334517723; 0.00445283606654; 0.00463913936972
0.00478388983957; 0.0045488599916; 0.00454887359022; 0.0045234246907; 0.00445282744855; 0.00463914353784
0.0047837439585; 0.0045488719744; 0.00454888392301; 0.00452350156808; 0.00445281866368; 0.00463914776748
0.00478359515721; 0.00454888412612; 0.00454890806541; 0.00452357632672; 0.00445280970704; 0.00463915472444
0.0047834437033; 0.00454891406931; 0.00454894609834; 0.00452364936856; 0.00445280400237; 0.00463916650797
0.00478328984595; 0.00454895555533; 0.0045489801387; 0.00452372100507; 0.00445280060163; 0.00463917703489
0.00478313381795; 0.00454899329169; 0.00454901137859; 0.00452379147671; 0.00445279687695; 0.00463918667434
0.00478297583684; 0.00454902828217; 0.00454904068989; 0.00452386096874; 0.0044527928429; 0.00463919569773
0.00478281610565; 0.00454906129315; 0.00454906871044; 0.00452392962389; 0.00445278851237; 0.00463920430462
0.00478265481374; 0.00454909290969; 0.00454909590689; 0.00452399755209; 0.00445278389676; 0.00463921264179
0.00478249213759; 0.00454912357841; 0.00454912262074; 0.00452406483797; 0.00445277900621; 0.00463922081727
0.0047823282415; 0.0045491536402; 0.0045491491019; 0.00452413154672; 0.00445277384975; 0.00463922891055
0.00478216327834; 0.0045491833552; 0.00454917553327; 0.00452419772853; 0.00445276843545; 0.00463923698013
0.00478199739024; 0.00454921292185; 0.00454920204863; 0.00452426342208; 0.0044527627705; 0.00463924506909
0.00478183070927; 0.0045492424915; 0.00454922874585; 0.00452432865719; 0.00445275686136; 0.00463925320914
0.00478166335801; 0.00454927217944; 0.00454925569641; 0.00452439345691; 0.00445275071383; 0.00463926142363
0.00478149545023; 0.00454930207345; 0.00454928295244; 0.00452445783906; 0.00445274433311; 0.00463926972971
0.00478132709136; 0.00454933224022; 0.00454931055187; 0.00452452181749; 0.00445273772387; 0.00463927814
0.00478115837909; 0.00454936273034; 0.00454933852218; 0.00452458540303; 0.00445273089033; 0.00463928666374
